GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JServer,org.jserver.model,RefreshToken,0,12,0,0,0,1,0,1,0,1
JServer,org.jserver.model,AuditEntry,0,21,0,0,0,1,0,1,0,1
JServer,org.jserver.model,User,0,21,0,0,0,1,0,1,0,1
JServer,org.jserver.server,RpcHttpHandler,212,54,8,0,55,16,12,3,7,3
JServer,org.jserver.server,HttpServerBootstrap,185,0,0,0,33,0,3,0,3,0
JServer,org.jserver.core,AuthService,2,137,2,6,0,30,2,7,0,5
JServer,org.jserver.core,AuthService.LoginResult,0,24,0,0,0,3,0,2,0,2
JServer,org.jserver.core,HealthService,0,38,0,0,0,9,0,4,0,4
JServer,org.jserver.core,RateLimitService.TokenBucket,18,46,1,3,3,15,1,4,0,3
JServer,org.jserver.core,AuditService,0,38,0,0,0,11,0,4,0,4
JServer,org.jserver.core,RateLimitService,0,52,0,2,0,14,0,5,0,4
JServer,org.jserver.middleware,AuthMiddleware,13,107,5,11,3,24,5,7,0,4
JServer,org.jserver.middleware,RateLimitMiddleware,1,41,1,3,0,12,1,4,0,3
JServer,org.jserver.middleware,LoggingMiddleware,1,78,1,3,0,11,1,5,0,4
JServer,org.jserver.middleware,MiddlewareChain,0,46,0,2,0,11,0,3,0,2
JServer,org.jserver,JServerApplication,38,0,0,0,14,0,3,0,3,0
JServer,org.jserver.handlers,SystemHelpHandler,22,0,0,0,6,0,2,0,2,0
JServer,org.jserver.handlers,AuthHandler,23,115,4,10,7,28,4,10,0,6
JServer,org.jserver.handlers,HealthHandler,0,42,0,3,0,10,0,4,0,2
JServer,org.jserver.api,JsonRpcRequest,0,15,0,0,0,1,0,1,0,1
JServer,org.jserver.api,JsonRpcResponse,0,31,0,0,0,3,0,3,0,3
JServer,org.jserver.api,RpcDispatcher,16,64,0,2,4,14,0,8,0,7
JServer,org.jserver.api,RequestContext,0,36,1,3,0,3,1,4,0,3
JServer,org.jserver.api,JsonRpcError,0,72,0,0,0,9,0,9,0,9
JServer,org.jserver.infrastructure,AuditRepository,10,117,0,2,4,33,0,6,0,5
JServer,org.jserver.infrastructure,JwtProvider.TokenClaims,0,15,0,0,0,1,0,1,0,1
JServer,org.jserver.infrastructure,ServerConfig,65,306,19,15,12,46,16,8,1,6
JServer,org.jserver.infrastructure,ConfigRepository,11,76,0,2,4,23,0,5,0,4
JServer,org.jserver.infrastructure,ConfigRepository.RateLimitConfig,0,9,0,0,0,1,0,1,0,1
JServer,org.jserver.infrastructure,JwtProvider,26,208,2,10,9,44,2,13,0,9
JServer,org.jserver.infrastructure,H2DataSource,14,79,0,0,4,23,1,5,1,5
JServer,org.jserver.infrastructure,UserRepository,20,182,8,12,4,46,8,8,0,6
